team,underperforming_player,replacement_type,target_role,underperformance_score,severity,action_level,replacement_rank,recommended_player,recommended_team,replacement_score,recent_form_score,role_fit_score,role_match_type,closest_ipl_benchmark,reason
Mumbai Indians,Will Jacks,bowling,middle_overs_bowler,19.41,low,competition_needed,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Will Jacks,bowling,middle_overs_bowler,19.41,low,competition_needed,3,Mrinmoy Dutta,Assam,86.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Will Jacks,bowling,middle_overs_bowler,19.41,low,competition_needed,4,SI Sopariya,Baroda,84.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Will Jacks,bowling,middle_overs_bowler,19.41,low,competition_needed,5,Manisankar Murasingh,Tripura,84.14,25.65,71.43,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Deepak Chahar,bowling,middle_overs_bowler,18.18,low,competition_needed,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Deepak Chahar,bowling,middle_overs_bowler,18.18,low,competition_needed,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Deepak Chahar,bowling,middle_overs_bowler,18.18,low,competition_needed,3,Mrinmoy Dutta,Assam,86.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Deepak Chahar,bowling,middle_overs_bowler,18.18,low,competition_needed,4,SI Sopariya,Baroda,84.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Deepak Chahar,bowling,middle_overs_bowler,18.18,low,competition_needed,5,Manisankar Murasingh,Tripura,84.14,25.65,71.43,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Hardik Pandya,bowling,middle_overs_bowler,15.88,low,competition_needed,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Hardik Pandya,bowling,middle_overs_bowler,15.88,low,competition_needed,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Hardik Pandya,bowling,middle_overs_bowler,15.88,low,competition_needed,3,Mrinmoy Dutta,Assam,86.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Hardik Pandya,bowling,middle_overs_bowler,15.88,low,competition_needed,4,SI Sopariya,Baroda,84.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Hardik Pandya,bowling,middle_overs_bowler,15.88,low,competition_needed,5,Manisankar Murasingh,Tripura,84.14,25.65,71.43,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Punjab Kings,Xavier Bartlett,bowling,powerplay_bowler,34.78,medium,watchlist,1,Chintan Gaja,Gujarat,85.83,48.21,57.14,exact_role,Mohsin Khan,Current bowling output below IPL benchmark for powerplay_bowler
Punjab Kings,Xavier Bartlett,bowling,powerplay_bowler,34.78,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,83.29,47.56,78.57,exact_role,Sandeep Sharma,Current bowling output below IPL benchmark for powerplay_bowler
Punjab Kings,Xavier Bartlett,bowling,powerplay_bowler,34.78,medium,watchlist,3,SI Sopariya,Baroda,79.47,64.88,85.71,exact_role,Arjun Tendulkar,Current bowling output below IPL benchmark for powerplay_bowler
Punjab Kings,Marco Jansen,batting,finisher,20.37,medium,watchlist,1,YV Dhull,Delhi,71.24,61.68,100.0,same_domain_fallback,,Current batting output below IPL benchmark for finisher
Punjab Kings,Marco Jansen,batting,finisher,20.37,medium,watchlist,2,Shivam Chaudhary,Railways,69.01,65.66,100.0,same_domain_fallback,Anuj Rawat,Current batting output below IPL benchmark for finisher
Punjab Kings,Marco Jansen,batting,finisher,20.37,medium,watchlist,3,Saurav Chauhan,Gujarat,68.27,88.83,50.0,same_domain_fallback,Anuj Rawat,Current batting output below IPL benchmark for finisher
Punjab Kings,Marco Jansen,batting,finisher,20.37,medium,watchlist,4,AV Rajput,Baroda,67.84,79.44,33.33,same_domain_fallback,Anuj Rawat,Current batting output below IPL benchmark for finisher
Punjab Kings,Marco Jansen,batting,finisher,20.37,medium,watchlist,5,Amandeep Khare,Chhattisgarh,66.59,36.79,50.0,same_domain_fallback,,Current batting output below IPL benchmark for finisher
Royal Challengers Bengaluru,Jitesh Sharma,batting,finisher,22.34,medium,watchlist,1,A Manohar,Karnataka,78.98,60.82,66.67,exact_role,Tilak Varma,Current batting output below IPL benchmark for finisher
Royal Challengers Bengaluru,Jitesh Sharma,batting,finisher,22.34,medium,watchlist,2,Rajat Dey,Tripura,76.46,82.6,83.33,exact_role,Tilak Varma,Current batting output below IPL benchmark for finisher
Royal Challengers Bengaluru,Jitesh Sharma,batting,finisher,22.34,medium,watchlist,3,Chirag Gandhi,Gujarat,70.68,50.36,50.0,exact_role,MS Dhoni,Current batting output below IPL benchmark for finisher
